OrderDetailCode,OrderDate,ProductNumber,ProductTypeCode,ProductLineCode,SalesStaffCode,SalesBranchCode,SalesCountryCode,SalesTerritoryCode,VendorContactCode,VendorSiteCode,VendorCode,VendorTypeCode,OrderMethodCode,OrderMethod,Quantity,UnitCost,UnitPrice,UnitSalePrice,Revenue,Sale Cost,Margin
53119,19990318,29,4,1,5,6,1,6,179,197,1,5,2,Telephone,36,43.22,73.5,73.5,2646,1555.92,1090.08
53014,19990707,14,2,1,5,6,1,6,179,197,1,5,1,Fax,44,541.63,677.03,643.19,28300.36,23831.72,4468.64
53047,19990707,20,3,1,5,6,1,6,179,197,1,5,1,Fax,46,90.91,127.27,118.19,5436.74,4181.86,1254.88
53036,19990318,18,3,1,5,6,1,6,185,203,32,4,7,Sales visit,92,97.87,146.83,132.3,12171.6,9004.04,3167.56
53221,19990318,64,10,3,5,6,1,6,185,203,32,4,7,Sales visit,88,20.8,41.61,41.61,3661.68,1830.4,1831.28
53337,19990318,84,14,3,5,6,1,6,185,203,32,4,7,Sales visit,24,83.37,116.73,116.73,2801.52,2000.88,800.64
53373,19990318,89,15,4,5,6,1,6,185,203,32,4,7,Sales visit,336,2.33,6.55,4.8,1612.8,782.88,829.92
53076,19990719,24,4,1,5,6,1,6,185,203,32,4,3,Mail,58,64.05,76.86,76.86,4457.88,3714.9,742.98
53164,19990719,34,5,1,5,6,1,6,185,203,32,4,3,Mail,156,32.02,51.24,51.24,7993.44,4995.12,2998.32
53216,19990719,63,10,3,5,6,1,6,185,203,32,4,3,Mail,28,32.59,48.88,48.88,1368.64,912.52,456.12
53275,19990719,74,12,3,5,6,1,6,185,203,32,4,3,Mail,52,11.89,16.64,16.64,865.28,618.28,247
53375,19990719,89,15,4,5,6,1,6,185,203,32,4,3,Mail,118,2.33,6.55,6.55,772.9,274.94,497.96
53057,19990402,21,3,1,5,6,1,6,199,215,37,2,3,Mail,48,33.88,40.65,40.65,1951.2,1626.24,324.96
53232,19990402,66,10,3,5,6,1,6,199,215,37,2,3,Mail,24,49,98.01,98.01,2352.24,1176,1176.24
53322,19990402,82,14,3,5,6,1,6,199,215,37,2,3,Mail,54,21.81,32.72,32.72,1766.88,1177.74,589.14
53519,19990402,108,19,5,5,6,1,6,199,215,37,2,3,Mail,4,506.01,910.82,910.82,3643.28,2024.04,1619.24
53525,19990402,109,20,5,5,6,1,6,199,215,37,2,3,Mail,22,42.7,76.86,76.86,1690.92,939.4,751.52
53557,19990402,114,21,5,5,6,1,6,199,215,37,2,3,Mail,4,87.72,219.3,219.3,877.2,350.88,526.32
53029,19990817,17,3,1,5,6,1,6,199,215,37,2,7,Sales visit,64,64.36,90.09,90.09,5765.76,4119.04,1646.72
53055,19990817,21,3,1,5,6,1,6,199,215,37,2,7,Sales visit,20,33.88,40.65,40.65,813,677.6,135.4
53269,19990817,73,12,3,5,6,1,6,199,215,37,2,7,Sales visit,40,9.13,12.78,12.78,511.2,365.2,146
53369,19990817,88,15,4,5,6,1,6,199,215,37,2,7,Sales visit,430,1.88,6.63,6.63,2850.9,808.4,2042.5
53371,19990817,89,15,4,5,6,1,6,199,215,37,2,7,Sales visit,314,2.33,6.55,5.13,1610.82,731.62,879.2
53416,19990817,94,16,4,5,6,1,6,199,215,37,2,7,Sales visit,444,1.85,4.63,4.63,2055.72,821.4,1234.32
53431,19990817,97,17,4,5,6,1,6,199,215,37,2,7,Sales visit,28,24.04,33.68,33.68,943.04,673.12,269.92
53446,19990817,99,17,4,5,6,1,6,199,215,37,2,7,Sales visit,72,1.92,4.82,4.82,347.04,138.24,208.8
53137,19990314,31,5,1,5,6,1,6,201,217,37,2,4,E-mail,86,8.14,16.29,16.29,1400.94,700.04,700.9
53196,19990314,39,5,1,5,6,1,6,201,217,37,2,4,E-mail,80,42.33,67.73,67.73,5418.4,3386.4,2032
53306,19990314,79,13,3,5,6,1,6,201,217,37,2,4,E-mail,26,99.34,134.11,134.11,3486.86,2582.84,904.02
53521,19990314,109,20,5,5,6,1,6,201,217,37,2,4,E-mail,50,42.7,76.86,76.86,3843,2135,1708
52953,19990710,5,1,1,5,6,1,6,201,217,37,2,2,Telephone,38,38.4,54.93,54.93,2087.34,1459.2,628.14
53128,19990710,30,5,1,5,6,1,6,201,217,37,2,2,Telephone,42,7.38,14.77,14.77,620.34,309.96,310.38
53321,19990710,82,14,3,5,6,1,6,201,217,37,2,2,Telephone,48,21.81,32.72,32.72,1570.56,1046.88,523.68
53012,19990315,14,2,1,5,6,1,6,206,221,125,8,4,E-mail,44,541.63,677.03,643.19,28300.36,23831.72,4468.64
53237,19990315,67,10,3,5,6,1,6,206,221,125,8,4,E-mail,30,140.17,294.38,255.83,7674.9,4205.1,3469.8
53244,19990315,68,11,3,5,6,1,6,206,221,125,8,4,E-mail,66,47.56,61.84,58.27,3845.82,3138.96,706.86
53511,19990315,107,19,5,5,6,1,6,206,221,125,8,4,E-mail,4,618.05,1359.72,1174.31,4697.24,2472.2,2225.04
53535,19990315,110,20,5,5,6,1,6,206,221,125,8,4,E-mail,24,63.36,126.73,110.88,2661.12,1520.64,1140.48
53566,19990315,115,21,5,5,6,1,6,206,221,125,8,4,E-mail,48,5.34,10.71,9.36,449.28,256.32,192.96
53109,19990726,28,4,1,5,6,1,6,206,221,125,8,4,E-mail,56,26.87,33.59,33.59,1881.04,1504.72,376.32
53313,19990726,80,13,3,5,6,1,6,206,221,125,8,4,E-mail,24,107.45,182.67,182.67,4384.08,2578.8,1805.28
