Year Begin,Branch Code,Branch Name,Province State,Cntry_Cd,Staff Count
9701,BOS,Boston,Massachusetts,USA,29
9701,BRUS,Brussels,,BEL,11
9701,CHG,Chicago,Illinois,USA,14
9701,DAL,Dallas,Texas,USA,18
9701,DEN,Denver,Colorado,USA,9
9701,FRNK,Frankfurt,Niederrad,GER,20
9701,HKG,Hong Kong,,HKG,17
9701,LA,Los Angeles,California,USA,37
9701,LON,London,,UK,29
9701,MADR,Madrid,,SPA,21
9701,MAN,Manchester,,UK,7
9701,MEL,Melbourne,Victoria,AUS,25
9701,MEX,Mexico,,MEX,13
9701,MIA,Miami,Florida,USA,25
9701,MTL,Montreal,Québec,CAN,15
9701,NYC,New York,New Jersey,USA,35
9701,PAR,Paris,,FRA,11
9701,SEA,Seattle,Washington,USA,18
9701,SFR,San Francisco,California,USA,27
9701,SING,Singapore,,SING,13
9701,STOC,Stockholm,,SWE,18
9701,SYD,Sydney,New South Wales,AUS,23
9701,TOKY,Tokyo,,JAP,9
9701,TOR,Toronto,Ontario,CAN,33
9701,VAN,Vancouver,British Columbia,CAN,28
9801,BOS,Boston,Massachusetts,USA,35
9801,BRUS,Brussels,,BEL,9
9801,CHG,Chicago,Illinois,USA,15
9801,DAL,Dallas,Texas,USA,20
9801,DEN,Denver,Colorado,USA,7
9801,FRNK,Frankfurt,Niederrad,GER,25
9801,HKG,Hong Kong,,HKG,20
9801,LA,Los Angeles,California,USA,43
9801,LON,London,,UK,31
9801,MADR,Madrid,,SPA,19
9801,MAN,Manchester,,UK,5
9801,MEL,Melbourne,Victoria,AUS,33
9801,MEX,Mexico,,MEX,13
9801,MIA,Miami,Florida,USA,27
9801,MTL,Montreal,Québec,CAN,17
9801,NYC,New York,New Jersey,USA,33
9801,PAR,Paris,,FRA,23
9801,SEA,Seattle,Washington,USA,21
9801,SFR,San Francisco,California,USA,27
9801,SING,Singapore,,SING,13
9801,STOC,Stockholm,,SWE,18
9801,SYD,Sydney,New South Wales,AUS,25
9801,TOKY,Tokyo,,JAP,11
9801,TOR,Toronto,Ontario,CAN,37
9801,VAN,Vancouver,British Columbia,CAN,32
