ProductNumber,ProductName,ProductTypeCode,ProductType,ProductLineCode,ProductLine
1,"TrailChef Water Bag",1,"Cooking Gear",1,"Camping Equipment"
2,"TrailChef Canteen",1,"Cooking Gear",1,"Camping Equipment"
3,"TrailChef Kitchen Kit",1,"Cooking Gear",1,"Camping Equipment"
4,"TrailChef Cup",1,"Cooking Gear",1,"Camping Equipment"
5,"TrailChef Cook Set",1,"Cooking Gear",1,"Camping Equipment"
6,"TrailChef Deluxe Cook Set",1,"Cooking Gear",1,"Camping Equipment"
7,"TrailChef Single Flame",1,"Cooking Gear",1,"Camping Equipment"
8,"TrailChef Double Flame",1,"Cooking Gear",1,"Camping Equipment"
9,"TrailChef Kettle",1,"Cooking Gear",1,"Camping Equipment"
10,"TrailChef Utensils",1,"Cooking Gear",1,"Camping Equipment"
11,"Star Lite",2,"Tents",1,"Camping Equipment"
12,"Star Dome",2,"Tents",1,"Camping Equipment"
13,"Star Gazer 2",2,"Tents",1,"Camping Equipment"
14,"Star Gazer 3",2,"Tents",1,"Camping Equipment"
15,"Star Gazer 6",2,"Tents",1,"Camping Equipment"
16,"Star Peg",2,"Tents",1,"Camping Equipment"
17,"Hibernator Lite",3,"Sleeping Bags",1,"Camping Equipment"
18,"Hibernator",3,"Sleeping Bags",1,"Camping Equipment"
19,"Hibernator Extreme",3,"Sleeping Bags",1,"Camping Equipment"
20,"Hibernator Self - Inflating Mat",3,"Sleeping Bags",1,"Camping Equipment"
21,"Hibernator Pad",3,"Sleeping Bags",1,"Camping Equipment"
22,"Hibernator Pillow",3,"Sleeping Bags",1,"Camping Equipment"
23,"Hibernator Camp Cot",3,"Sleeping Bags",1,"Camping Equipment"
24,"Canyon Mule Climber Backpack",4,"Packs",1,"Camping Equipment"
25,"Canyon Mule Weekender Backpack",4,"Packs",1,"Camping Equipment"
26,"Canyon Mule Journey Backpack",4,"Packs",1,"Camping Equipment"
27,"Canyon Mule Extreme Backpack",4,"Packs",1,"Camping Equipment"
28,"Canyon Mule Cooler",4,"Packs",1,"Camping Equipment"
29,"Canyon Mule Carryall",4,"Packs",1,"Camping Equipment"
30,"Firefly Lite",5,"Lanterns",1,"Camping Equipment"
31,"Firefly Mapreader",5,"Lanterns",1,"Camping Equipment"
32,"Firefly 2",5,"Lanterns",1,"Camping Equipment"
33,"Firefly 4",5,"Lanterns",1,"Camping Equipment"
34,"Firefly Extreme",5,"Lanterns",1,"Camping Equipment"
35,"Firefly Multi-light",5,"Lanterns",1,"Camping Equipment"
36,"EverGlow Single",5,"Lanterns",1,"Camping Equipment"
37,"EverGlow Double",5,"Lanterns",1,"Camping Equipment"
38,"EverGlow Kerosene",5,"Lanterns",1,"Camping Equipment"
39,"EverGlow Butane",5,"Lanterns",1,"Camping Equipment"
40,"EverGlow Lamp",5,"Lanterns",1,"Camping Equipment"
41,"Flicker Lantern",5,"Lanterns",1,"Camping Equipment"
42,"Husky Rope 50",6,"Rope",2,"Mountaineering Equipment"
43,"Husky Rope 60",6,"Rope",2,"Mountaineering Equipment"
44,"Husky Rope 100",6,"Rope",2,"Mountaineering Equipment"
45,"Husky Rope 200",6,"Rope",2,"Mountaineering Equipment"
46,"Granite Climbing Helmet",7,"Safety",2,"Mountaineering Equipment"
47,"Husky Harness",7,"Safety",2,"Mountaineering Equipment"
48,"Husky Harness Extreme",7,"Safety",2,"Mountaineering Equipment"
49,"Granite Signal Mirror",7,"Safety",2,"Mountaineering Equipment"
50,"Granite Carabiner",8,"Climbing Accessories",2,"Mountaineering Equipment"
51,"Granite Belay",8,"Climbing Accessories",2,"Mountaineering Equipment"
52,"Granite Pulley",8,"Climbing Accessories",2,"Mountaineering Equipment"
53,"Firefly Climbing Lamp",8,"Climbing Accessories",2,"Mountaineering Equipment"
54,"Firefly Charger",8,"Climbing Accessories",2,"Mountaineering Equipment"
55,"Firefly  Rechargeable Battery",8,"Climbing Accessories",2,"Mountaineering Equipment"
56,"Granite Chalk Bag",8,"Climbing Accessories",2,"Mountaineering Equipment"
57,"Granite Ice",9,"Tools",2,"Mountaineering Equipment"
58,"Granite Hammer",9,"Tools",2,"Mountaineering Equipment"
59,"Granite Shovel",9,"Tools",2,"Mountaineering Equipment"
60,"Granite Grip",9,"Tools",2,"Mountaineering Equipment"
61,"Granite Axe",9,"Tools",2,"Mountaineering Equipment"
62,"Granite Extreme",9,"Tools",2,"Mountaineering Equipment"
63,"Mountain Man Analog",10,"Watches",3,"Personal Accessories"
64,"Mountain Man Digital",10,"Watches",3,"Personal Accessories"
65,"Mountain Man Deluxe",10,"Watches",3,"Personal Accessories"
66,"Mountain Man Combination",10,"Watches",3,"Personal Accessories"
67,"Mountain Man Extreme",10,"Watches",3,"Personal Accessories"
68,"Polar Sun",11,"Eyewear",3,"Personal Accessories"
69,"Polar Ice",11,"Eyewear",3,"Personal Accessories"
70,"Polar Sports",11,"Eyewear",3,"Personal Accessories"
71,"Polar Wave",11,"Eyewear",3,"Personal Accessories"
72,"Polar Extreme",11,"Eyewear",3,"Personal Accessories"
73,"Single Edge",12,"Knives",3,"Personal Accessories"
74,"Double Edge",12,"Knives",3,"Personal Accessories"
75,"Edge Extreme",12,"Knives",3,"Personal Accessories"
76,"Bear Edge",12,"Knives",3,"Personal Accessories"
77,"Bear Survival Edge",12,"Knives",3,"Personal Accessories"
78,"Seeker 35",13,"Binoculars",3,"Personal Accessories"
79,"Seeker 50",13,"Binoculars",3,"Personal Accessories"
80,"Seeker Extreme",13,"Binoculars",3,"Personal Accessories"
81,"Seeker Mini",13,"Binoculars",3,"Personal Accessories"
82,"Glacier Basic",14,"Navigation",3,"Personal Accessories"
83,"Glacier Deluxe",14,"Navigation",3,"Personal Accessories"
84,"Glacier GPS",14,"Navigation",3,"Personal Accessories"
85,"Glacier GPS Extreme",14,"Navigation",3,"Personal Accessories"
86,"BugShield Natural",15,"Insect Repellents",4,"Outdoor Protection"
87,"BugShield Spray",15,"Insect Repellents",4,"Outdoor Protection"
88,"BugShield Lotion Lite",15,"Insect Repellents",4,"Outdoor Protection"
89,"BugShield Lotion",15,"Insect Repellents",4,"Outdoor Protection"
90,"BugShield Extreme",15,"Insect Repellents",4,"Outdoor Protection"
91,"Sun Blocker",16,"Sunscreen",4,"Outdoor Protection"
92,"Sun Shelter Stick",16,"Sunscreen",4,"Outdoor Protection"
93,"Sun Shelter 15",16,"Sunscreen",4,"Outdoor Protection"
94,"Sun Shelter 30",16,"Sunscreen",4,"Outdoor Protection"
95,"Sun Shield",16,"Sunscreen",4,"Outdoor Protection"
96,"Compact Relief Kit",17,"First Aid",4,"Outdoor Protection"
97,"Deluxe Family Relief Kit",17,"First Aid",4,"Outdoor Protection"
98,"Calamine Relief",17,"First Aid",4,"Outdoor Protection"
99,"Aloe Relief",17,"First Aid",4,"Outdoor Protection"
100,"Insect Bite Relief",17,"First Aid",4,"Outdoor Protection"
101,"Hailstorm Steel Irons",18,"Irons",5,"Golf Equipment"
102,"Hailstorm Titanium Irons",18,"Irons",5,"Golf Equipment"
103,"Lady Hailstorm Steel Irons",18,"Irons",5,"Golf Equipment"
104,"Lady Hailstorm Titanium Irons",18,"Irons",5,"Golf Equipment"
105,"Hailstorm Titanium Woods Set",19,"Woods",5,"Golf Equipment"
106,"Hailstorm Steel Woods Set",19,"Woods",5,"Golf Equipment"
107,"Lady Hailstorm Titanium Woods Set",19,"Woods",5,"Golf Equipment"
108,"Lady Hailstorm Steel Woods Set",19,"Woods",5,"Golf Equipment"
109,"Course Pro Putter",20,"Putters",5,"Golf Equipment"
110,"Blue Steel Putter",20,"Putters",5,"Golf Equipment"
111,"Blue Steel Max Putter",20,"Putters",5,"Golf Equipment"
112,"Course Pro Golf and Tee Set",21,"Golf Accessories",5,"Golf Equipment"
113,"Course Pro Umbrella",21,"Golf Accessories",5,"Golf Equipment"
114,"Course Pro Golf Bag",21,"Golf Accessories",5,"Golf Equipment"
115,"Course Pro Gloves",21,"Golf Accessories",5,"Golf Equipment"
